File,input-type,frame_type,compression_ratio,peaq,desirability,i-rate,mean-ref,p-ratio,quantile-25,quantile-50,quantile-75,std-ref
1,drums,with-pframe,0.59056750034991012,-0.55528326067923173,-0.23506341796247993,0.10000000000000001,1.299186451934252,0.61478003470450138,1,1,1,0.5925636372769526
1,drums,with-pframe,0.48957447343015975,-1.6280357030186465,-0.83135242510294705,1,8.9047679755226934,0.80065326120240887,1,5,14,9.0294567358244127
1,drums,with-pframe,0.47854153881489936,-2.0759976654357892,-1.0845441289051756,2,17.001511715797431,0.81024803511278964,3,10,26,18.080270828446086
1,drums,with-pframe,0.46700656794217371,-1.2497281871193553,-0.66900996308584082,5,47.480610457843383,0.81596407063386756,9,30,74,47.304460369036292
1,repet-fg,with-pframe,0.75800337109969862,-0.091124542964521105,-0.030054135126179961,0.10000000000000001,1.234249713631157,0.71287128712871284,1,1,1,0.5455704514384333
1,repet-fg,with-pframe,0.67876887072147674,-0.73646016587319041,-0.27124850506564646,1,7.9517423326371333,0.92854955598652644,1,4,12,8.8792778862624555
1,repet-fg,with-pframe,0.66979203177941349,-0.41882574257114813,-0.15632678603926811,2,15.870287887017925,0.93957333877717664,1,8,24,18.036227421254459
1,repet-fg,with-pframe,0.66097529415376988,-0.96289459252603704,-0.36419462309813216,5,43.205825242718447,0.94620802286414207,5,26,68,46.266142155701914
1,repet-bg,with-pframe,0.83957479243651878,-0.040923589289505458,-0.012185808119233086,0.10000000000000001,1.420162288543529,0.74216596917423705,1,1,2,0.65352468477913472
1,repet-bg,with-pframe,0.78402701266096364,-0.41008073663774613,-0.13076103565805236,1,9.1687612208258535,0.96652036337654379,2,6,13,9.1497112595757102
1,repet-bg,with-pframe,0.77779512374854798,-0.86829971388636684,-0.27909011234913511,2,17.433312460864119,0.97805450648157599,3,10,27,18.33883208176001
1,repet-bg,with-pframe,0.77137791207945494,-1.0216556198407494,-0.3311138431118037,5,45.444916571665459,0.98489333469429419,6,26,70,49.287876225169505
1,sum,with-pframe,0.82810840793097662,-0.01681288755138155,-0.0050756903897970435,0.10000000000000001,1.420162288543529,0.74216596917423705,1,1,2,0.65352468477913472
1,sum,with-pframe,0.80033451804319899,-0.3171923443461977,-0.099081177056353345,1,9.1687612208258535,0.96652036337654379,2,6,13,9.1497112595757102
1,sum,with-pframe,0.79721857358699122,-0.70720582865668824,-0.22177287762962508,2,17.433312460864119,0.97805450648157599,3,10,27,18.33883208176001
1,sum,with-pframe,0.7940099677524447,-0.83838930146756407,-0.26397316643289165,5,45.444916571665459,0.98489333469429419,6,26,70,49.287876225169505
2,mixture,with-pframe,0.89740104850293068,0.15033071490351668,0.041879468258451041,0.10000000000000001,1.3305159359042085,0.7497029702970297,1,1,2,0.61280311786262887
2,mixture,with-pframe,0.85815258734730826,0.13900545696220901,0.040495553766229937,1,9.708896700919416,0.97636963696369639,2,7,15,9.0218340899031269
