File,compression_ratio mixture lossless,compression_ratio mixture all-iframe,compression_ratio mixture with-pframe,compression_ratio vocals lossless,compression_ratio vocals all-iframe,compression_ratio vocals with-pframe,compression_ratio drums lossless,compression_ratio drums all-iframe,compression_ratio drums with-pframe,compression_ratio repet-fg lossless,compression_ratio repet-fg all-iframe,compression_ratio repet-fg with-pframe,compression_ratio repet-bg lossless,compression_ratio repet-bg all-iframe,compression_ratio repet-bg with-pframe,compression_ratio sum with-pframe,peaq mixture lossless,peaq mixture all-iframe,peaq mixture with-pframe,peaq vocals lossless,peaq vocals all-iframe,peaq vocals with-pframe,peaq drums lossless,peaq drums all-iframe,peaq drums with-pframe,peaq repet-fg lossless,peaq repet-fg all-iframe,peaq repet-fg with-pframe,peaq repet-bg lossless,peaq repet-bg all-iframe,peaq repet-bg with-pframe,peaq sum with-pframe,desirability mixture lossless,desirability mixture all-iframe,desirability mixture with-pframe,desirability vocals lossless,desirability vocals all-iframe,desirability vocals with-pframe,desirability drums lossless,desirability drums all-iframe,desirability drums with-pframe,desirability repet-fg lossless,desirability repet-fg all-iframe,desirability repet-fg with-pframe,desirability repet-bg lossless,desirability repet-bg all-iframe,desirability repet-bg with-pframe,desirability sum with-pframe
20,0.9483840136,0.9009545233,0.8220157652,0.5914443644,0.5816809122,0.4696753077,0.5789081538,0.5504373461,0.4483980174,0.8949561541,0.7649259503,0.6808910035,0.9257871173,0.8875394101,0.7882614328,0.7765936916,0.1574161228,0.1491976128,0.1319087945,0.1531345243,0.1517988667,-0.851120546,0.0764900464,-0.033628899,-0.41968141,0.1490697504,0.1356506237,-0.006889351,0.1448903431,0.1312394192,0.0858070308,0.1280143157,0.0414958816,0.0413998734,0.0401174771,0.0647290487,0.0652414681,-0.453036668,0.0330320302,-0.015273718,-0.233989332,0.0416416351,0.0443345606,-0.002529535,0.0391262582,0.0369672089,0.027214014,0.0412101969
21,0.9407578545,0.8803187279,0.8976533051,0.829142952,0.8103752628,0.6516752776,0.9267055457,0.9116590078,0.7036136988,0.9287099182,0.834121538,0.7470127657,0.9315367696,0.8679733806,0.8767470055,0.8554342718,0.1579803996,0.1250882967,0.1225358797,0.1385619231,0.1235701132,-1.185148484,0.1179928358,0.1001056835,-1.096159366,0.1346133039,0.1099900762,-0.178698866,0.1504435531,0.102346917,0.0943740565,0.1176202992,0.0419822165,0.0355235816,0.0341267277,0.0417786592,0.0381212627,-0.454654536,0.0318312641,0.0274515149,-0.389474852,0.0362366389,0.0329658422,-0.059804489,0.0403750979,0.0294787027,0.0269102877,0.0343744409
22,0.8664982029,0.8306970103,0.7435208267,0.5812360743,0.5688284427,0.4974751778,0.5493305326,0.5463205439,0.5129012473,0.8186166771,0.7663643841,0.6466904978,0.8503008477,0.8201242951,0.7187725351,0.7425684596,0.1736717204,0.1732350882,0.1722826612,0.1400011898,0.136001665,-1.200872086,0.1749163858,0.1748516319,0.1697001703,0.1734601748,0.1732133033,0.1699384629,0.1625821149,0.159586302,0.1527481035,0.1717239232,0.0501073516,0.0521354616,0.0579279877,0.0602170082,0.0597727077,-0.603483419,0.0796043436,0.0800132971,0.0827158109,0.0529735649,0.0565048777,0.0656954384,0.0478013504,0.0486469865,0.0531281094,0.0578141722
23,0.9021018496,0.8854919547,0.877893599,0.5562766513,0.5504244337,0.501485879,0.8695939344,0.8634301644,0.8291510966,0.9038086147,0.827521181,0.8077915182,0.8883727756,0.8730342852,0.8598284385,0.8436748098,0.1708660689,0.1696148985,0.1687363008,0.1626988704,0.1609612756,-0.170187683,0.1683438628,0.1669082784,0.1565021494,0.159228425,0.1538722393,0.0973535247,0.1672373765,0.165627848,0.1643215685,0.168653001,0.0473522111,0.0478871935,0.0480514669,0.0731195845,0.0731077991,-0.084841712,0.0483972622,0.0483270927,0.0471874638,0.044043734,0.0464858915,0.030129533,0.0470628381,0.0474287926,0.0477774289,0.0499757131
24,0.8930140747,0.8781836928,0.8663316191,0.8487775452,0.8273476005,0.7983949768,0.8881144305,0.8764000349,0.8488479062,0.8852437166,0.8062536048,0.7826339754,0.8724257012,0.8585144008,0.8409591235,0.8236063641,0.1686696042,0.1649175129,0.1620781405,0.1518472158,0.1207550399,-0.017441149,0.1560732623,0.1379860062,0.0867015119,0.1466070236,0.1218193812,-0.034748149,0.1653940046,0.1625730949,0.1554279273,0.1604513302,0.0472191898,0.0469484671,0.0467713913,0.0447252689,0.0364886052,-0.005461316,0.0439338831,0.0393615931,0.025535055,0.0414030116,0.0377732826,-0.011099745,0.0473948682,0.0473414001,0.0462055536,0.0487038885
25,0.9342683742,0.9009276847,0.8713634256,0.8053471309,0.7831971157,0.7315691326,0.8662815206,0.8584043338,0.8292881459,0.9126652062,0.8334703282,0.7941357099,0.9198807971,0.8925370657,0.8530124234,0.8432413758,0.1713399866,0.1689983766,0.1692552225,0.1553888092,0.1470428335,0.0711065169,0.1713499101,0.1677810996,0.1634169218,0.1633075655,0.1569363258,0.116740521,0.1671170198,0.1644402071,0.1645802659,0.1689645043,0.0458487067,0.0468956553,0.0485604564,0.0482365936,0.046936726,0.0242993156,0.0494498342,0.0488642394,0.0492642161,0.0447336998,0.0470731592,0.0367508096,0.0454181184,0.0460597698,0.0482350143,0.050093754
26,0.9309793435,0.9125490531,0.9016989962,0.3838338754,0.3798628958,0.3050306888,0.379085064,0.3599275348,0.6573344001,0.935843204,0.9042418666,0.8582121602,0.9192363342,0.9008604242,0.8872175331,0.8957296998,0.168740039,0.1524925512,0.1629835982,0.1547560225,0.1515487595,-0.107158068,0.1480013881,0.0863562613,0.0625197479,0.1466991847,0.1360853382,-0.184140908,0.1647968137,0.1469088689,0.1566447157,0.1612132886,0.0453125089,0.0417765354,0.0451879172,0.1007962249,0.0997391172,-0.087825645,0.0976043388,0.0599816997,0.023777756,0.0391890394,0.0376241532,-0.053640847,0.0448189458,0.0407690428,0.0441393204,0.0449949601
27,0.9491728817,0.9142678769,0.8694501478,0.8644485228,0.845656151,0.5005738778,0.8834992362,0.8552695699,0.5313829025,0.9353506393,0.8368841296,0.7543762528,0.9336022443,0.9061501148,0.8495543655,0.8432192476,0.163513413,0.1595211448,0.1419436141,0.1552615895,0.1489999862,0.0681840603,0.1132791469,-0.146313837,-0.623749897,0.1349822094,0.1233465816,-0.09841559,0.1625785428,0.1584145854,0.1393633885,0.1398780983,0.0430673422,0.0436199141,0.04081419,0.0449019188,0.044048632,0.0340529457,0.0320541157,-0.042768339,-0.29345595,0.0360779701,0.0368469712,-0.032614889,0.0435352806,0.0437053924,0.0410107328,0.0414714497
28,0.9489296836,0.8960654281,0.8164383376,0.7610879459,0.7492278366,0.6201265396,0.9267947668,0.8935628745,0.6803600711,0.9199518725,0.7996916682,0.6923028829,0.934738035,0.8908187805,0.7934501283,0.7965708983,0.162516747,0.1473858532,0.1477887731,0.1611423326,0.1589786218,0.0128963398,0.1258743457,-0.051381037,-0.100654999,0.1460524323,0.1380696559,-0.099672776,0.1571675462,0.1392466156,0.1322661383,0.143421554,0.0428158034,0.0411202822,0.0452541136,0.0529315743,0.053047489,0.0051990759,0.0339542125,-0.014375328,-0.03698593,0.0396902373,0.0431634033,-0.035993197,0.0420351853,0.0390782667,0.0416743704,0.0450121748
29,0.9403468468,0.922771263,0.8975217883,0.6080593885,0.6031360238,0.5187180428,0.92829862,0.9170556714,0.865493647,0.9272831084,0.8710823585,0.8070170611,0.9271731142,0.9113102099,0.8799491645,0.8755157615,0.1654448888,0.162787337,0.1524872976,0.16386779,0.1622367202,0.0821244672,0.1631505298,0.1589231297,0.1267466072,0.1495361177,0.1391557363,-0.034234838,0.1629250818,0.1603308513,0.1463540382,0.1505215361,0.0439850703,0.044102841,0.0424745392,0.067373267,0.0672471523,0.0395804948,0.0439380514,0.0433242862,0.0366110738,0.0403156588,0.0399375946,-0.010605364,0.0439305992,0.04398361,0.0415802538,0.0429808185
