File,input-type,frame_type,compression_ratio,peaq,desirability,,,,,,,
1,drums,with-pframe,0.47854153881489936,-2.0759976654357892,-1.0845441289051756,,,,,,,
1,repet-fg,lossless,0.88748845097290963,0.10378623746745452,0.02923594029693536,,,,,,,
1,repet-fg,all-iframe,0.81664202342543446,0.079675145970706129,0.024391086818097436,,,,,,,
1,repet-fg,with-pframe,0.66979203177941349,-0.41882574257114813,-0.15632678603926811,,,,,,,
1,repet-bg,lossless,0.92177545381645254,0.12437983563471322,0.033733767567724851,,,,,,,
1,repet-bg,all-iframe,0.89655780175908084,0.11312027858707774,0.031542940780039892,,,,,,,
1,repet-bg,with-pframe,0.77779512374854798,-0.86829971388636684,-0.27909011234913511,,,,,,,
1,sum,with-pframe,0.79721857358699122,-0.70720582865668824,-0.22177287762962508,,,,,,,
2,mixture,lossless,0.9532998445038694,0.16369854383301385,0.042929447848123879,,,,,,,
2,mixture,all-iframe,0.91705738400323888,0.15406924381230391,0.042000982299423853,,,,,,,
2,mixture,with-pframe,0.85415378386811458,0.13687826027528027,0.040062534071854831,,,,,,,
2,vocals,lossless,0.67767856912615299,0.15384983757671167,0.0567561985083491,,,,,,,
2,vocals,all-iframe,0.66478425234211214,0.15119332925879947,0.056858044066976546,,,,,,,
2,vocals,with-pframe,0.57313140325587753,-0.046237234501332658,-0.020168688296726345,,,,,,,
2,drums,lossless,0.74812050821189768,0.14804665869784239,0.049472864689838726,,,,,,,
2,drums,all-iframe,0.73716770115861374,0.11170510098729958,0.037883205141696921,,,,,,,
2,drums,with-pframe,0.67899977049493154,-0.051074074608477016,-0.01880489391448854,,,,,,,
2,repet-fg,lossless,0.91559835065795747,0.14601791332244973,0.03986953264428663,,,,,,,
2,repet-fg,all-iframe,0.8342003811331361,0.12827452395148553,0.038442359549525684,,,,,,,
2,repet-fg,with-pframe,0.73870125918342611,-0.28042772929841542,-0.094905662408239749,,,,,,,
2,repet-bg,lossless,0.93448507056636176,0.15870752234697649,0.042458549458363443,,,,,,,
2,repet-bg,all-iframe,0.9049957322372103,0.14641545771740505,0.040446449773706719,,,,,,,
2,repet-bg,with-pframe,0.82645716378152145,0.11840130866856979,0.035815924241861204,,,,,,,
2,sum,with-pframe,0.83032877245732883,0.1311933124232163,0.039500411395763844,,,,,,,
3,mixture,lossless,0.91378623199691256,0.1691167398557174,0.046268135241582631,,,,,,,
3,mixture,all-iframe,0.8911697768538237,0.16798791135474245,0.047125675633829613,,,,,,,
3,mixture,with-pframe,0.86083658976707045,0.16484196956059938,0.047872607739990219,,,,,,,
3,vocals,lossless,0.72602075218205531,0.16354026234158736,0.056313907643158655,,,,,,,
3,vocals,all-iframe,0.71762877930975766,0.16240833381309328,0.056578114791223856,,,,,,,
3,vocals,with-pframe,0.67328135795140875,-0.0061115188842539858,-0.0022693034687791915,,,,,,,
3,drums,lossless,0.82089154644337514,0.16586815332213822,0.050514636811886011,,,,,,,
3,drums,all-iframe,0.81406534641305794,0.16482873898510819,0.050619013483185982,,,,,,,
3,drums,with-pframe,0.63310048089316617,0.13431849776977911,0.053039960410504315,,,,,,,
3,repet-fg,lossless,0.88303032406521587,0.16674583091615114,0.047208410167756648,,,,,,,
